iter	Passed	Remaining
408	4899	7080
409	4910	7066
410	4926	7059
411	4937	7046
412	4947	7031
413	4957	7017
414	4968	7003
415	4979	6990
416	4990	6976
417	5001	6963
418	5010	6947
419	5021	6934
420	5033	6921
421	5042	6906
422	5053	6893
423	5064	6880
424	5074	6865
425	5085	6852
426	5096	6839
427	5106	6824
428	5117	6811
429	5127	6796
430	5138	6783
431	5149	6770
432	5159	6755
433	5170	6742
434	5180	6729
435	5192	6716
436	5203	6703
437	5214	6690
438	5223	6675
439	5235	6662
440	5246	6649
441	5255	6634
442	5266	6621
443	5278	6609
444	5287	6594
445	5299	6582
446	5310	6569
447	5320	6556
448	5330	6541
449	5341	6529
450	5352	6515
451	5363	6502
452	5374	6490
453	5385	6476
454	5395	6462
455	5406	6449
456	5416	6435
457	5427	6422
458	5438	6409
459	5447	6395
460	5458	6382
461	5469	6368
462	5478	6354
463	5490	6342
464	5500	6328
465	5511	6315
466	5523	6303
467	5533	6290
468	5543	6276
469	5555	6264
470	5564	6250
471	5575	6236
472	5586	6224
473	5597	6211
474	5607	6197
475	5618	6184
476	5628	6170
477	5639	6158
478	5650	6145
479	5660	6132
480	5671	6119
481	5682	6106
482	5692	6092
483	5703	6080
484	5713	6066
485	5723	6053
486	5734	6040
487	5744	6026
488	5755	6014
489	5766	6001
490	5777	5988
491	5789	5978
492	5802	5966
493	5813	5954
494	5823	5941
495	5835	5929
496	5847	5917
497	5857	5904
498	5867	5890
499	5877	5877
500	5888	5864
501	5898	5851
502	5915	5845
503	5926	5832
504	5938	5820
505	5949	5807
506	5961	5796
507	5972	5784
508	5983	5772
509	5995	5759
510	6005	5746
511	6017	5734
512	6028	5722
513	6039	5710
514	6051	5698
515	6062	5686
516	6073	5674
517	6085	5662
518	6099	5652
519	6114	5643
520	6129	5635
521	6144	5626
522	6158	5616
523	6172	5607
524	6186	5597
525	6200	5587
526	6212	5575
527	6225	5565
528	6236	5552
529	6248	5540
530	6259	5528
531	6273	5518
532	6287	5509
533	6301	5498
534	6314	5488
535	6328	5478
536	6344	5470
537	6358	5460
538	6369	5447
539	6382	5436
540	6395	5426
541	6409	5415
542	6422	5404
543	6432	5391
544	6446	5381
545	6459	5371
546	6473	5361
547	6485	5349
548	6497	5338
549	6510	5326
550	6525	5317
551	6536	5304
552	6546	5291
553	6557	5278
554	6569	5267
555	6578	5253
556	6589	5241
557	6601	5229
558	6611	5216
559	6623	5204
560	6636	5193
561	6648	5181
562	6659	5168
563	6670	5156
564	6681	5144
565	6692	5131
566	6703	5119
567	6714	5106
568	6725	5094
569	6738	5083
570	6752	5073
571	6768	5064
572	6781	5053
573	6793	5042
574	6806	5030
575	6817	5018
576	6827	5005
577	6836	4991
578	6847	4978
579	6857	4965
580	6870	4954
581	6884	4944
582	6897	4933
583	6923	4931
584	6938	4922
585	6952	4911
586	6967	4902
587	6980	4890
588	6991	4878
589	7003	4866
590	7023	4860
591	7037	4850
592	7051	4839
593	7066	4830
594	7081	4820
595	7096	4810
596	7110	4799
597	7122	4788
598	7136	4777
599	7152	4768
600	7168	4759
601	7184	4750
602	7199	4740
603	7214	4730
604	7230	4720
605	7245	4711
606	7259	4700
607	7272	4688
608	7286	4677
609	7299	4666
610	7313	4656
611	7328	4646
612	7342	4635
613	7355	4624
614	7366	4611
615	7379	4599
616	7392	4588
617	7406	4578
618	7417	4565
619	7429	4553
620	7443	4542
621	7456	4531
622	7467	4519
623	7479	4506
624	7492	4495
625	7504	4483
626	7515	4471
627	7527	4458
628	7539	4446
629	7551	4435
630	7563	4423
631	7577	4411
632	7590	4400
633	7604	4389
634	7617	4378
635	7629	4366
636	7643	4355
637	7656	4344
638	7672	4334
639	7685	4323
640	7697	4311
641	7709	4299
642	7722	4287
643	7736	4276
644	7750	4265
645	7763	4254
646	7775	4242
647	7789	4231
648	7803	4220
649	7815	4208
650	7828	4197
651	7841	4185
652	7854	4173
653	7869	4163
654	7882	4151
655	7893	4139
656	7906	4128
657	7924	4118
658	7935	4106
659	7946	4093
660	7959	4081
661	7970	4069
662	7982	4057
663	7995	4045
664	8007	4033
665	8019	4021
666	8032	4010
667	8045	3998
668	8058	3987
669	8070	3975
670	8083	3963
671	8095	3951
672	8111	3941
673	8124	3929
674	8135	3917
675	8148	3905
676	8175	3900
677	8192	3891
678	8206	3879
679	8219	3867
680	8230	3855
681	8244	3844
682	8257	3832
683	8270	3820
684	8281	3808
685	8294	3796
686	8306	3784
687	8319	3772
688	8332	3760
689	8346	3749
690	8360	3738
691	8374	3727
692	8387	3715
693	8399	3703
694	8410	3691
695	8423	3679
696	8436	3667
697	8449	3655
698	8462	3644
699	8474	3632
700	8487	3620
701	8501	3608
702	8514	3597
703	8528	3585
704	8543	3574
705	8556	3563
706	8572	3552
707	8584	3540
708	8597	3528
709	8607	3515
710	8620	3503
711	8632	3491
712	8644	3479
713	8655	3467
714	8668	3455
715	8680	3442
716	8692	3430
717	8704	3418
718	8716	3406
719	8727	3394
720	8738	3381
721	8750	3369
722	8762	3357
723	8773	3344
724	8783	3331
725	8794	3319
726	8804	3306
727	8816	3294
728	8827	3281
729	8838	3268
730	8848	3256
731	8860	3243
732	8869	3230
733	8881	3218
734	8892	3206
735	8902	3193
736	8913	3180
737	8924	3168
738	8939	3157
739	8949	3144
740	8961	3132
741	8973	3120
742	8983	3107
743	8994	3094
744	9005	3082
745	9016	3069
746	9028	3057
747	9040	3045
748	9051	3033
749	9063	3021
750	9075	3009
751	9089	2997
752	9100	2985
753	9113	2973
754	9125	2961
755	9139	2949
756	9151	2937
757	9165	2926
758	9180	2915
759	9195	2903
760	9209	2892
761	9224	2881
762	9237	2869
763	9248	2856
764	9260	2844
765	9272	2832
766	9284	2820
767	9296	2808
768	9309	2796
769	9321	2784
770	9332	2771
771	9344	2759
772	9357	2747
773	9369	2735
774	9380	2723
775	9391	2710
776	9404	2699
777	9415	2686
778	9427	2674
779	9440	2662
780	9452	2650
781	9463	2638
782	9474	2625
783	9485	2613
784	9495	2600
785	9506	2588
786	9518	2576
787	9529	2563
788	9539	2551
789	9551	2539
790	9566	2527
791	9577	2515
792	9587	2502
793	9598	2490
794	9608	2477
795	9619	2465
796	9630	2452
797	9640	2440
798	9650	2427
799	9661	2415
800	9671	2402
801	9682	2390
802	9692	2377
803	9703	2365
804	9713	2352
805	9723	2340
